b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.3018999999999998 ,	1.1704366741374745 ,	-0.026954452533186023 ,	-0.7492322678195024 ,		-0.29805	1.175766737	-0.02622465431	-0.7502275103		
-0.3019499999999998 ,	1.1703678231198347 ,	-0.026964025713214986 ,	-0.7492191567736334 ,		-0.298	1.175836329	-0.0262152713	-0.7502402498		
-0.30199999999999977 ,	1.1702989816079912 ,	-0.026973601346420937 ,	-0.7492060409592476 ,		-0.29795	1.175905931	-0.02620589071	-0.7502529846		
-0.30204999999999976 ,	1.1702301496021628 ,	-0.026983179433173098 ,	-0.7491929203761734 ,		-0.2979	1.175975542	-0.02619651254	-0.7502657147		
-0.30209999999999976 ,	1.1701613271024476 ,	-0.02699275997386117 ,	-0.7491797950242823 ,		-0.29785	1.176045162	-0.0261871368	-0.75027844		
-0.30214999999999975 ,	1.170092514108981 ,	-0.02700234296886649 ,	-0.7491666649034344 ,		-0.2978	1.176114792	-0.02617776348	-0.7502911605		
-0.30219999999999975 ,	1.1700237106219615 ,	-0.02701192841856252 ,	-0.7491535300134647 ,		-0.29775	1.176184432	-0.02616839259	-0.7503038764		
-0.30224999999999974 ,	1.1699549166414975 ,	-0.027021516323336183 ,	-0.7491403903542462 ,		-0.2977	1.17625408	-0.02615902414	-0.7503165883		
-0.30229999999999974 ,	1.1698861321677403 ,	-0.027031106683567122 ,	-0.7491272459256275 ,		-0.29765	1.176323739	-0.02614965804	-0.7503292936		
-0.30234999999999973 ,	1.1698173572007953 ,	-0.027040699499640847 ,	-0.7491140967274844 ,		-0.2976	1.176393407	-0.0261402944	-0.7503419951		
-0.3023999999999997 ,	1.169748591740884 ,	-0.02705029477192854 ,	-0.7491009427596435 ,		-0.29755	1.176463084	-0.02613093318	-0.7503546919		
-0.3024499999999997 ,	1.1696798357881173 ,	-0.027059892500815884 ,	-0.7490877840219733 ,		-0.2975	1.176532771	-0.02612157454	-0.7503673862		
-0.3024999999999997 ,	1.1696110893426068 ,	-0.027069492686688516 ,	-0.7490746205143473 ,		-0.29745	1.176602468	-0.026112218	-0.7503800712		
-0.3025499999999997 ,	1.1695423524045305 ,	-0.027079095329922333 ,	-0.749061452236607 ,		-0.2974	1.176672174	-0.02610286403	-0.7503927537		
-0.3025999999999997 ,	1.1694736249740971 ,	-0.027088700430887087 ,	-0.7490482791885871 ,		-0.29735	1.176741889	-0.02609351236	-0.7504054318		
-0.3026499999999997 ,	1.1694049070513266 ,	-0.027098307989983417 ,	-0.7490351013701919 ,		-0.2973	1.176811614	-0.02608416336	-0.7504181044		
-0.3026999999999997 ,	1.1693361986364246 ,	-0.02710791800758209 ,	-0.7490219187812579 ,		-0.29725	1.176881349	-0.02607481665	-0.7504307726		
-0.3027499999999997 ,	1.169267499729572 ,	-0.027117530484058575 ,	-0.7490087314216299 ,		-0.2972	1.176951093	-0.02606547236	-0.7504434361		
-0.3027999999999997 ,	1.1691988103308784 ,	-0.027127145419797247 ,	-0.7489955392911782 ,		-0.29715	1.177020846	-0.02605613049	-0.7504560949		
-0.3028499999999997 ,	1.1691301304404937 ,	-0.027136762815179676 ,	-0.7489823423897614 ,		-0.2971	1.177090609	-0.02604679103	-0.7504687488		
-0.30289999999999967 ,	1.1690614600585363 ,	-0.027146382670589005 ,	-0.7489691407172487 ,		-0.29705	1.177160381	-0.02603745398	-0.7504813981		
-0.30294999999999966 ,	1.1689927991852047 ,	-0.027156004986397246 ,	-0.7489559342734771 ,		-0.297	1.177230163	-0.02602811936	-0.7504940425		
-0.30299999999999966 ,	1.1689241478206092 ,	-0.02716562976298971 ,	-0.7489427230583188 ,		-0.29695	1.177299954	-0.02601878714	-0.7505066822		
-0.30304999999999965 ,	1.1688555059648844 ,	-0.027175257000749232 ,	-0.7489295070716406 ,		-0.2969	1.177369755	-0.02600945735	-0.7505193172		
-0.30309999999999965 ,	1.168786873618227 ,	-0.027184886700046398 ,	-0.7489162863132818 ,		-0.29685	1.177439566	-0.02600012996	-0.7505319474		
-0.30314999999999964 ,	1.1687182507807143 ,	-0.027194518861271992 ,	-0.7489030607831263 ,		-0.2968	1.177509386	-0.02599080499	-0.7505445729		
-0.30319999999999964 ,	1.1686496374525657 ,	-0.02720415348479551 ,	-0.7488898304810073 ,		-0.29675	1.177579215	-0.02598148244	-0.7505571936		
-0.30324999999999963 ,	1.1685810336338898 ,	-0.027213790571000707 ,	-0.7488765954068007 ,		-0.2967	1.177649054	-0.0259721623	-0.7505698095		
-0.3032999999999996 ,	1.168512439324799 ,	-0.027223430120274048 ,	-0.7488633555603771 ,		-0.29665	1.177718902	-0.02596284457	-0.7505824207		
-0.3033499999999996 ,	1.1684438545255031 ,	-0.027233072132982646 ,	-0.748850110941574 ,		-0.2966	1.17778876	-0.02595352925	-0.7505950272		
-0.3033999999999996 ,	1.168375279236089 ,	-0.027242716609518356 ,	-0.7488368615502743 ,		-0.29655	1.177858627	-0.02594421635	-0.7506076289		
-0.3034499999999996 ,	1.1683067134567635 ,	-0.027252363550249015 ,	-0.7488236073863171 ,		-0.2965	1.177928504	-0.02593490585	-0.7506202258		
-0.3034999999999996 ,	1.1682381571876295 ,	-0.02726201295556124 ,	-0.7488103484495781 ,		-0.29645	1.17799839	-0.02592559777	-0.750632818		
-0.3035499999999996 ,	1.1681696104288422 ,	-0.02727166482583273 ,	-0.7487970847399176 ,		-0.2964	1.178068286	-0.0259162921	-0.7506454055		
-0.3035999999999996 ,	1.168101073180505 ,	-0.027281319161449692 ,	-0.7487838162572131 ,		-0.29635	1.178138191	-0.02590698884	-0.7506579882		
-0.3036499999999996 ,	1.1680325454428537 ,	-0.027290975962777908 ,	-0.7487705430012896 ,		-0.2963	1.178208106	-0.02589768799	-0.7506705661		
-0.3036999999999996 ,	1.1679640272159901 ,	-0.027300635230201875 ,	-0.7487572649720289 ,		-0.29625	1.17827803	-0.02588838955	-0.7506831393		
-0.3037499999999996 ,	1.1678955185000501 ,	-0.027310296964103035 ,	-0.7487439821692972 ,		-0.2962	1.178347964	-0.02587909351	-0.7506957077		
-0.30379999999999957 ,	1.1678270192951556 ,	-0.027319961164864168 ,	-0.7487306945929634 ,		-0.29615	1.178417907	-0.02586979989	-0.7507082714		
-0.30384999999999956 ,	1.1677585296015196 ,	-0.027329627832853975 ,	-0.7487174022428698 ,		-0.2961	1.17848786	-0.02586050868	-0.7507208304		
-0.30389999999999956 ,	1.1676900494192357 ,	-0.02733929696845856 ,	-0.748704105118894 ,		-0.29605	1.178557822	-0.02585121987	-0.7507333845		
-0.30394999999999955 ,	1.1676215787484514 ,	-0.027348968572057424 ,	-0.7486908032209044 ,		-0.296	1.178627794	-0.02584193347	-0.750745934		
