b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.372599999999992 ,	1.0826449840467118 ,	-0.043107251538750155 ,	-0.7259003533715617 ,		-0.22735	1.283587256	-0.0151905587	-0.7635992545		
-0.372649999999992 ,	1.0825897158626894 ,	-0.043120632917564745 ,	-0.7258804667190715 ,		-0.2273	1.283670131	-0.01518420248	-0.7636055228		
-0.372699999999992 ,	1.0825344573789266 ,	-0.04313401719046629 ,	-0.7258605753353762 ,		-0.22725	1.283753016	-0.01517784813	-0.7636117867		
-0.372749999999992 ,	1.0824792085955703 ,	-0.04314740435766028 ,	-0.7258406792206717 ,		-0.2272	1.283835909	-0.01517149562	-0.7636180463		
-0.37279999999999197 ,	1.082423969512725 ,	-0.043160794419365066 ,	-0.7258207783751738 ,		-0.22715	1.283918812	-0.01516514498	-0.7636243016		
-0.37284999999999197 ,	1.0823687401304978 ,	-0.043174187375795384 ,	-0.7258008727990981 ,		-0.2271	1.284001725	-0.01515879618	-0.7636305525		
-0.37289999999999196 ,	1.0823135204490315 ,	-0.04318758322715779 ,	-0.7257809624926438 ,		-0.22705	1.284084647	-0.01515244924	-0.763636799		
-0.37294999999999195 ,	1.0822583104684216 ,	-0.04320098197367154 ,	-0.7257610474560319 ,		-0.227	1.284167577	-0.01514610415	-0.7636430413		
-0.37299999999999195 ,	1.0822031101888192 ,	-0.04321438361553984 ,	-0.7257411276894594 ,		-0.22695	1.284250518	-0.01513976092	-0.7636492792		
-0.37304999999999194 ,	1.082147919610322 ,	-0.043227788152981526 ,	-0.7257212031931437 ,		-0.2269	1.284333467	-0.01513341954	-0.7636555128		
-0.37309999999999194 ,	1.082092738733061 ,	-0.043241195586203936 ,	-0.7257012739672946 ,		-0.22685	1.284416426	-0.01512708	-0.763661742		
-0.37314999999999193 ,	1.082037567557126 ,	-0.04325460591542716 ,	-0.7256813400121325 ,		-0.2268	1.284499394	-0.01512074232	-0.7636679669		
-0.3731999999999919 ,	1.0819824060826726 ,	-0.043268019140854076 ,	-0.7256614013278563 ,		-0.22675	1.284582372	-0.0151144065	-0.7636741875		
-0.3732499999999919 ,	1.0819272543098006 ,	-0.04328143526269946 ,	-0.7256414579146846 ,		-0.2267	1.284665358	-0.01510807252	-0.7636804037		
-0.3732999999999919 ,	1.0818721122386479 ,	-0.04329485428117006 ,	-0.7256215097728201 ,		-0.22665	1.284748354	-0.01510174039	-0.7636866156		
-0.3733499999999919 ,	1.0818169798693194 ,	-0.04330827619648137 ,	-0.7256015569024843 ,		-0.2266	1.28483136	-0.01509541011	-0.7636928231		
-0.3733999999999919 ,	1.0817618572019232 ,	-0.04332170100884598 ,	-0.7255815993038913 ,		-0.22655	1.284914374	-0.01508908168	-0.7636990264		
-0.3734499999999919 ,	1.0817067442366062 ,	-0.043335128718467245 ,	-0.7255616369772427 ,		-0.2265	1.284997398	-0.0150827551	-0.7637052253		
-0.3734999999999919 ,	1.0816516409734716 ,	-0.043348559325560254 ,	-0.7255416699227598 ,		-0.22645	1.285080432	-0.01507643037	-0.7637114198		
-0.3735499999999919 ,	1.081596547412626 ,	-0.04336199283033795 ,	-0.7255216981406599 ,		-0.2264	1.285163474	-0.01507010749	-0.7637176101		
-0.3735999999999919 ,	1.081541463554236 ,	-0.04337542923299856 ,	-0.7255017216311369 ,		-0.22635	1.285246526	-0.01506378646	-0.7637237959		
-0.3736499999999919 ,	1.0814863893983528 ,	-0.04338886853376913 ,	-0.7254817403944326 ,		-0.2263	1.285329587	-0.01505746727	-0.7637299775		
-0.37369999999999187 ,	1.0814313249451473 ,	-0.043402310732845055 ,	-0.7254617544307401 ,		-0.22625	1.285412657	-0.01505114993	-0.7637361548		
-0.37374999999999187 ,	1.0813762701947287 ,	-0.043415755830439266 ,	-0.7254417637402774 ,		-0.2262	1.285495737	-0.01504483443	-0.7637423277		
-0.37379999999999186 ,	1.0813212251471864 ,	-0.04342920382676853 ,	-0.7254217683232713 ,		-0.22615	1.285578826	-0.01503852079	-0.7637484962		
-0.37384999999999186 ,	1.081266189802677 ,	-0.043442654722032514 ,	-0.7254017681799215 ,		-0.2261	1.285661924	-0.01503220898	-0.7637546605		
-0.37389999999999185 ,	1.0812111641613047 ,	-0.043456108516442826 ,	-0.7253817633104479 ,		-0.22605	1.285745032	-0.01502589903	-0.7637608204		
-0.37394999999999184 ,	1.081156148223176 ,	-0.043469565210211815 ,	-0.7253617537150734 ,		-0.226	1.285828149	-0.01501959092	-0.763766976		
-0.37399999999999184 ,	1.0811011419884335 ,	-0.04348302480354175 ,	-0.7253417393940005 ,		-0.22595	1.285911275	-0.01501328465	-0.7637731272		
-0.37404999999999183 ,	1.081046145457187 ,	-0.04349648729664308 ,	-0.7253217203474511 ,		-0.2259	1.28599441	-0.01500698023	-0.7637792742		
-0.37409999999999183 ,	1.080991158629537 ,	-0.04350995268972929 ,	-0.725301696575649 ,		-0.22585	1.286077555	-0.01500067765	-0.7637854168		
-0.3741499999999918 ,	1.080936181505648 ,	-0.04352342098299623 ,	-0.7252816680787897 ,		-0.2258	1.286160709	-0.01499437691	-0.763791555		
-0.3741999999999918 ,	1.0808812140855912 ,	-0.043536892176663414 ,	-0.7252616348571118 ,		-0.22575	1.286243873	-0.01498807802	-0.763797689		
-0.3742499999999918 ,	1.0808262563694861 ,	-0.04355036627093859 ,	-0.7252415969108318 ,		-0.2257	1.286327045	-0.01498178097	-0.7638038186		
-0.3742999999999918 ,	1.0807713083574837 ,	-0.04356384326602097 ,	-0.7252215542401517 ,		-0.22565	1.286410227	-0.01497548577	-0.7638099439		
-0.3743499999999918 ,	1.0807163700496738 ,	-0.04357732316212432 ,	-0.7252015068453026 ,		-0.2256	1.286493418	-0.0149691924	-0.7638160649		
-0.3743999999999918 ,	1.0806614414462086 ,	-0.043590805959448344 ,	-0.7251814547264877 ,		-0.22555	1.286576619	-0.01496290088	-0.7638221815		
-0.3744499999999918 ,	1.0806065225471708 ,	-0.043604291658207825 ,	-0.7251613978839387 ,		-0.2255	1.286659829	-0.01495661119	-0.7638282939		
-0.3744999999999918 ,	1.0805516133526947 ,	-0.04361778025860575 ,	-0.7251413363178694 ,		-0.22545	1.286743048	-0.01495032335	-0.7638344019		
-0.3745499999999918 ,	1.0804967138629176 ,	-0.043631271760843575 ,	-0.7251212700284889 ,		-0.2254	1.286826276	-0.01494403735	-0.7638405055		
-0.3745999999999918 ,	1.0804418240779112 ,	-0.04364476616513979 ,	-0.7251011990160365 ,		-0.22535	1.286909514	-0.01493775319	-0.7638466049		
-0.37464999999999177 ,	1.0803869439978355 ,	-0.043658263471689315 ,	-0.7250811232807137 ,		-0.2253	1.28699276	-0.01493147098	-0.7638527014		
-0.37469999999999176 ,	1.0803320736227937 ,	-0.043671763680702545 ,	-0.7250610428227448 ,		-0.22525	1.287076017	-0.01492519038	-0.7638587906		
-0.37474999999999176 ,	1.0802772129529021 ,	-0.04368526679238518 ,	-0.725040957642352 ,		-0.2252	1.287159283	-0.01491891174	-0.763864877		
-0.37479999999999175 ,	1.0802223619882636 ,	-0.043698772806946916 ,	-0.7250208677397616 ,		-0.22515	1.287242558	-0.01491263493	-0.763870959		
-0.37484999999999175 ,	1.0801675207290322 ,	-0.04371228172458352 ,	-0.7250007731151767 ,		-0.2251	1.287325842	-0.01490635996	-0.7638770368		
-0.37489999999999174 ,	1.080112689175311 ,	-0.04372579354550411 ,	-0.7249806737688268 ,		-0.22505	1.287409135	-0.01490008683	-0.7638831102		
-0.37494999999999173 ,	1.0800578673272092 ,	-0.0437393082699164 ,	-0.7249605697009336 ,		-0.225	1.287492438	-0.01489381554	-0.7638891793		
-0.37499999999999173 ,	1.0800030551848543 ,	-0.0437528258980227 ,	-0.7249404609117162 ,		-0.22495	1.28757575	-0.01488754608	-0.7638952441		
-0.3750499999999917 ,	1.079948252748342 ,	-0.04376634643003225 ,	-0.7249203474014049 ,		-0.2249	1.287659071	-0.01488127846	-0.7639013045		
-0.3750999999999917 ,	1.0798934600178254 ,	-0.043779869866141546 ,	-0.724900229170205 ,		-0.22485	1.287742402	-0.01487501267	-0.7639073607		
-0.3751499999999917 ,	1.0798386769934059 ,	-0.043793396206558644 ,	-0.724880106218346 ,		-0.2248	1.287825742	-0.01486874872	-0.7639134125		
-0.3751999999999917 ,	1.0797839036751957 ,	-0.04380692545148895 ,	-0.7248599785460528 ,		-0.22475	1.287909091	-0.01486248661	-0.76391946		
-0.3752499999999917 ,	1.0797291400633262 ,	-0.04382045760113274 ,	-0.7248398461535414 ,		-0.2247	1.28799245	-0.01485622633	-0.7639255032		
-0.3752999999999917 ,	1.0796743861578997 ,	-0.04383399265569828 ,	-0.7248197090410411 ,		-0.22465	1.288075817	-0.01484996788	-0.763931542		
-0.3753499999999917 ,	1.0796196419590445 ,	-0.04384753061538505 ,	-0.7247995672087704 ,		-0.2246	1.288159193	-0.01484371137	-0.7639375793		
-0.3753999999999917 ,	1.0795649074668594 ,	-0.04386107148040238 ,	-0.7247794206569603 ,		-0.22455	1.288242581	-0.01483745649	-0.7639436068		
-0.3754499999999917 ,	1.0795101826815072 ,	-0.04387461525094088 ,	-0.7247592693858139 ,		-0.2245	1.288325976	-0.01483120355	-0.7639496327		
-0.3754999999999917 ,	1.0794554676030572 ,	-0.043888161927217215 ,	-0.7247391133955775 ,		-0.22445	1.288409381	-0.01482495243	-0.7639556543		
-0.37554999999999167 ,	1.079400762231632 ,	-0.043901711509430966 ,	-0.7247189526864715 ,		-0.2244	1.288492796	-0.01481870315	-0.7639616716		
-0.37559999999999166 ,	1.0793460665673804 ,	-0.04391526399777811 ,	-0.7246987872587063 ,		-0.22435	1.288576219	-0.0148124557	-0.7639676846		
-0.37564999999999166 ,	1.0792913806103868 ,	-0.043928819392468475 ,	-0.7246786171125226 ,		-0.2243	1.288659652	-0.01480621009	-0.7639736932		
-0.37569999999999165 ,	1.0792367043608124 ,	-0.04394237769369336 ,	-0.7246584422481235 ,		-0.22425	1.288743094	-0.0147999663	-0.7639796975		
-0.37574999999999165 ,	1.0791820378187158 ,	-0.04395593890167031 ,	-0.7246382626657611 ,		-0.2242	1.288826545	-0.01479372435	-0.7639856976		
-0.37579999999999164 ,	1.0791273809842725 ,	-0.04396950301658602 ,	-0.7246180783656346 ,		-0.22415	1.288910006	-0.01478748422	-0.7639916933		
-0.37584999999999164 ,	1.0790727338575434 ,	-0.043983070038655585 ,	-0.7245978893479947 ,		-0.2241	1.288993476	-0.01478124593	-0.7639976847		
-0.37589999999999163 ,	1.0790180964387002 ,	-0.04399663996806764 ,	-0.7245776956130435 ,		-0.22405	1.289076955	-0.01477500946	-0.7640036717		
-0.3759499999999916 ,	1.0789634687278182 ,	-0.044010212805033457 ,	-0.7245574971610245 ,		-0.224	1.289160444	-0.01476877483	-0.7640096545		
-0.3759999999999916 ,	1.078908850725035 ,	-0.044023788549748304 ,	-0.7245372939921556 ,		-0.22395	1.289243942	-0.01476254202	-0.764015633		
-0.3760499999999916 ,	1.0788542424304566 ,	-0.044037367202417535 ,	-0.7245170861066692 ,		-0.2239	1.289327449	-0.01475631104	-0.7640216071		
-0.3760999999999916 ,	1.0787996438442282 ,	-0.04405094876323353 ,	-0.7244968735047769 ,		-0.22385	1.289410965	-0.01475008189	-0.764027577		
-0.3761499999999916 ,	1.0787450549664224 ,	-0.0440645332324079 ,	-0.7244766561867293 ,		-0.2238	1.289494491	-0.01474385456	-0.7640335425		
-0.3761999999999916 ,	1.0786904757971856 ,	-0.04407812061013409 ,	-0.7244564341527372 ,		-0.22375	1.289578026	-0.01473762907	-0.7640395037		
-0.3762499999999916 ,	1.078635906336631 ,	-0.04409171089661241 ,	-0.724436207403032 ,		-0.2237	1.28966157	-0.0147314054	-0.7640454606		
-0.3762999999999916 ,	1.0785813465848915 ,	-0.044105304092039464 ,	-0.7244159759378344 ,		-0.22365	1.289745124	-0.01472518355	-0.7640514132		
-0.3763499999999916 ,	1.0785267965420389 ,	-0.04411890019662559 ,	-0.7243957397573921 ,		-0.2236	1.289828687	-0.01471896354	-0.7640573615		
-0.3763999999999916 ,	1.078472256208226 ,	-0.044132499210562115 ,	-0.7243754988619171 ,		-0.22355	1.289912259	-0.01471274534	-0.7640633055		
-0.37644999999999157 ,	1.0784177255835592 ,	-0.04414610113405015 ,	-0.7243552532516432 ,		-0.2235	1.28999584	-0.01470652898	-0.7640692451		
-0.37649999999999156 ,	1.0783632046681573 ,	-0.04415970596728908 ,	-0.7243350029267989 ,		-0.22345	1.290079431	-0.01470031443	-0.7640751805		
-0.37654999999999156 ,	1.0783086934621349 ,	-0.04417331371047746 ,	-0.7243147478876131 ,		-0.2234	1.290163031	-0.01469410172	-0.7640811115		
-0.37659999999999155 ,	1.078254191965618 ,	-0.04418692436381237 ,	-0.7242944881343139 ,		-0.22335	1.29024664	-0.01468789082	-0.7640870383		
-0.37664999999999155 ,	1.0781997001787071 ,	-0.044200537927496474 ,	-0.7242742236671347 ,		-0.2233	1.290330259	-0.01468168175	-0.7640929607		
-0.37669999999999154 ,	1.0781452181015272 ,	-0.04421415440172614 ,	-0.7242539544863044 ,		-0.22325	1.290413887	-0.01467547451	-0.7640988789		
-0.37674999999999154 ,	1.0780907457342004 ,	-0.04422777378669722 ,	-0.7242336805920492 ,		-0.2232	1.290497524	-0.01466926908	-0.7641047927		
-0.37679999999999153 ,	1.0780362830768162 ,	-0.044241396082615625 ,	-0.7242134019846126 ,		-0.22315	1.29058117	-0.01466306548	-0.7641107022		
-0.3768499999999915 ,	1.0779818301295356 ,	-0.04425502128966763 ,	-0.7241931186642062 ,		-0.2231	1.290664826	-0.0146568637	-0.7641166074		
-0.3768999999999915 ,	1.077927386892439 ,	-0.044268649408059024 ,	-0.7241728306310752 ,		-0.22305	1.290748491	-0.01465066374	-0.7641225083		
-0.3769499999999915 ,	1.0778729533656741 ,	-0.04428228043798052 ,	-0.7241525378854383 ,		-0.223	1.290832165	-0.0146444656	-0.7641284049		
-0.3769999999999915 ,	1.077818529549313 ,	-0.04429591437964041 ,	-0.7241322404275464 ,		-0.22295	1.290915849	-0.01463826929	-0.7641342972		
-0.3770499999999915 ,	1.077764115443525 ,	-0.044309551233222284 ,	-0.724111938257609 ,		-0.2229	1.290999542	-0.01463207479	-0.7641401852		
-0.3770999999999915 ,	1.0777097110483682 ,	-0.044323190998936564 ,	-0.7240916313758826 ,		-0.22285	1.291083244	-0.01462588211	-0.7641460689		
-0.3771499999999915 ,	1.0776553163640088 ,	-0.044336833676969126 ,	-0.7240713197825781 ,		-0.2228	1.291166956	-0.01461969126	-0.7641519483		
-0.3771999999999915 ,	1.0776009313905495 ,	-0.044350479267518374 ,	-0.7240510034779346 ,		-0.22275	1.291250676	-0.01461350222	-0.7641578234		
-0.3772499999999915 ,	1.0775465561280908 ,	-0.0443641277707859 ,	-0.7240306824621916 ,		-0.2227	1.291334406	-0.014607315	-0.7641636942		
-0.3772999999999915 ,	1.0774921905767454 ,	-0.044377779186967524 ,	-0.7240103567355827 ,		-0.22265	1.291418146	-0.0146011296	-0.7641695607		
-0.37734999999999147 ,	1.0774378347366564 ,	-0.04439143351625212 ,	-0.7239900262983315 ,		-0.2226	1.291501894	-0.01459494602	-0.7641754229		
-0.37739999999999146 ,	1.0773834886079345 ,	-0.04440509075883737 ,	-0.7239696911506718 ,		-0.22255	1.291585652	-0.01458876425	-0.7641812808		
-0.37744999999999146 ,	1.0773291521906667 ,	-0.04441875091492679 ,	-0.723949351292853 ,		-0.2225	1.291669419	-0.0145825844	-0.7641871344		
-0.37749999999999145 ,	1.0772748254849995 ,	-0.0444324139847067 ,	-0.7239290067250942 ,		-0.22245	1.291753196	-0.01457640618	-0.7641929837		
-0.37754999999999145 ,	1.0772205084910358 ,	-0.04444607996837615 ,	-0.7239086574476356 ,		-0.2224	1.291836982	-0.01457022986	-0.7641988287		
-0.37759999999999144 ,	1.0771662012088963 ,	-0.04445974886612856 ,	-0.7238883034607104 ,		-0.22235	1.291920776	-0.01456405544	-0.7642046702		
-0.37764999999999144 ,	1.0771119036386954 ,	-0.04447342067815979 ,	-0.723867944764555 ,		-0.2223	1.292004581	-0.01455788268	-0.7642105058		
-0.37769999999999143 ,	1.0770576157805483 ,	-0.04448709540466388 ,	-0.7238475813594043 ,		-0.22225	1.292088395	-0.01455171181	-0.7642163379		
-0.3777499999999914 ,	1.077003337634572 ,	-0.04450077304583477 ,	-0.7238272132454922 ,		-0.2222	1.292172217	-0.01454554276	-0.7642221657		
-0.3777999999999914 ,	1.0769490692008739 ,	-0.04451445360186893 ,	-0.7238068404230592 ,		-0.22215	1.29225605	-0.01453937552	-0.7642279892		
-0.3778499999999914 ,	1.0768948104795788 ,	-0.04452813707295836 ,	-0.7237864628923383 ,		-0.2221	1.292339891	-0.0145332101	-0.7642338084		
-0.3778999999999914 ,	1.0768405614708174 ,	-0.044541823459292654 ,	-0.7237660806535585 ,		-0.22205	1.292423742	-0.01452704649	-0.7642396233		
-0.3779499999999914 ,	1.0767863221746545 ,	-0.04455551276107876 ,	-0.7237456937069795 ,		-0.222	1.292507602	-0.01452088469	-0.7642454339		
-0.3779999999999914 ,	1.076732092591254 ,	-0.044569204978497125 ,	-0.7237253020528158 ,		-0.22195	1.292591471	-0.01451472471	-0.7642512402		
-0.3780499999999914 ,	1.0766778727207338 ,	-0.044582900111740376 ,	-0.723704905691304 ,		-0.2219	1.29267535	-0.01450856654	-0.7642570422		
-0.3780999999999914 ,	1.0766236625631675 ,	-0.04459659816101268 ,	-0.7236845046226991 ,		-0.22185	1.292759238	-0.01450241018	-0.76426284		
-0.3781499999999914 ,	1.0765694621186923 ,	-0.04461029912650184 ,	-0.7236640988472318 ,		-0.2218	1.292843135	-0.01449625563	-0.7642686334		
-0.3781999999999914 ,	1.0765152713874324 ,	-0.044624003008396786 ,	-0.723643688365134 ,		-0.22175	1.292927041	-0.01449010289	-0.7642744226		
-0.37824999999999137 ,	1.0764610903694973 ,	-0.044637709806892197 ,	-0.723623273176647 ,		-0.2217	1.293010957	-0.01448395196	-0.7642802074		
-0.37829999999999137 ,	1.0764069190650134 ,	-0.04465141952217742 ,	-0.7236028532820037 ,		-0.22165	1.293094882	-0.01447780285	-0.764285988		
-0.37834999999999136 ,	1.0763527574740557 ,	-0.04466513215445543 ,	-0.723582428681463 ,		-0.2216	1.293178816	-0.01447165554	-0.7642917642		
-0.37839999999999135 ,	1.0762986055967978 ,	-0.04467884770390262 ,	-0.723561999375236 ,		-0.22155	1.29326276	-0.01446551005	-0.7642975362		
-0.37844999999999135 ,	1.076244463433308 ,	-0.04469256617072199 ,	-0.7235415653635844 ,		-0.2215	1.293346713	-0.01445936636	-0.7643033039		
-0.37849999999999134 ,	1.076190330983717 ,	-0.04470628755510191 ,	-0.7235211266467388 ,		-0.22145	1.293430675	-0.01445322448	-0.7643090673		
-0.37854999999999134 ,	1.0761362082481403 ,	-0.04472001185723376 ,	-0.72350068322494 ,		-0.2214	1.293514646	-0.01444708441	-0.7643148264		
-0.37859999999999133 ,	1.076082095226697 ,	-0.04473373907730656 ,	-0.7234802350984273 ,		-0.22135	1.293598627	-0.01444094615	-0.7643205812		
-0.3786499999999913 ,	1.0760279919194935 ,	-0.04474746921551476 ,	-0.7234597822674442 ,		-0.2213	1.293682617	-0.0144348097	-0.7643263317		
-0.3786999999999913 ,	1.075973898326649 ,	-0.04476120227204672 ,	-0.7234393247322284 ,		-0.22125	1.293766616	-0.01442867511	-0.7643320795		
-0.3787499999999913 ,	1.0759198144482789 ,	-0.04477493824709343 ,	-0.7234188624930217 ,		-0.2212	1.293850625	-0.01442254221	-0.7643378199		
-0.3787999999999913 ,	1.0758657402845082 ,	-0.044788677140842684 ,	-0.72339839555006 ,		-0.22115	1.293934643	-0.01441641118	-0.7643435575		
-0.3788499999999913 ,	1.075811675835418 ,	-0.04480241895349317 ,	-0.7233779239036017 ,		-0.2211	1.29401867	-0.01441028195	-0.7643492909		
-0.3788999999999913 ,	1.0757576211011526 ,	-0.04481616368522722 ,	-0.7233574475538728 ,		-0.22105	1.294102706	-0.01440415453	-0.7643550199		
-0.3789499999999913 ,	1.0757035760818399 ,	-0.04482991133623053 ,	-0.7233369665011111 ,		-0.221	1.294186752	-0.01439802892	-0.7643607447		
-0.3789999999999913 ,	1.0756495407775566 ,	-0.044843661906703816 ,	-0.7233164807455759 ,		-0.22095	1.294270807	-0.01439190511	-0.7643664652		
-0.3790499999999913 ,	1.0755955151884224 ,	-0.04485741539683433 ,	-0.7232959902875062 ,		-0.2209	1.294354871	-0.0143857831	-0.7643721814		
-0.3790999999999913 ,	1.075541499314594 ,	-0.04487117180680027 ,	-0.7232754951271262 ,		-0.22085	1.294438944	-0.014379663	-0.764377894		
-0.37914999999999127 ,	1.0754874931561378 ,	-0.04488493113680291 ,	-0.7232549952647019 ,		-0.2208	1.294523027	-0.0143735445	-0.764383601		
-0.37919999999999127 ,	1.0754334967131902 ,	-0.04489869338702616 ,	-0.7232344907004662 ,		-0.22075	1.294607119	-0.01436742791	-0.7643893044		
-0.37924999999999126 ,	1.075379509985877 ,	-0.04491245855765471 ,	-0.723213981434656 ,		-0.2207	1.29469122	-0.01436131319	-0.7643950055		
-0.37929999999999126 ,	1.0753255329742806 ,	-0.04492622664888546 ,	-0.7231934674675323 ,		-0.22065	1.294775332	-0.01435520012	-0.7644006982		
-0.37934999999999125 ,	1.0752715656785232 ,	-0.044939997660905305 ,	-0.7231729487993338 ,		-0.2206	1.294859451	-0.01434908894	-0.7644063887		
-0.37939999999999124 ,	1.075217608098746 ,	-0.04495377159389475 ,	-0.7231524254302922 ,		-0.22055	1.294943581	-0.01434297955	-0.764412075		
-0.37944999999999124 ,	1.0751636602350363 ,	-0.044967548448048476 ,	-0.7231318973606662 ,		-0.2205	1.295027719	-0.01433687197	-0.7644177569		
-0.37949999999999123 ,	1.0751097220875214 ,	-0.044981328223551026 ,	-0.7231113645906949 ,		-0.22045	1.295111867	-0.01433076618	-0.7644234346		
-0.3795499999999912 ,	1.0750557936563043 ,	-0.04499511092059247 ,	-0.7230908271206267 ,		-0.2204	1.295196024	-0.0143246622	-0.7644291079		
-0.3795999999999912 ,	1.0750018749415102 ,	-0.045008896539357066 ,	-0.7230702849507038 ,		-0.22035	1.29528019	-0.01431856002	-0.764434777		
-0.3796499999999912 ,	1.0749479659432464 ,	-0.04502268508003383 ,	-0.7230497380811737 ,		-0.2203	1.295364366	-0.0143124597	-0.7644404418		
-0.3796999999999912 ,	1.0748940666616338 ,	-0.045036476542807555 ,	-0.7230291865122805 ,		-0.22025	1.295448551	-0.01430636105	-0.7644461024		
-0.3797499999999912 ,	1.0748401770967941 ,	-0.045050270927863366 ,	-0.7230086302442651 ,		-0.2202	1.295532745	-0.01430026427	-0.7644517586		
-0.3797999999999912 ,	1.0747862972488131 ,	-0.045064068235395015 ,	-0.7229880692773892 ,		-0.22015	1.295616948	-0.01429416928	-0.7644574106		
-0.3798499999999912 ,	1.0747324271178187 ,	-0.04507786846558412 ,	-0.7229675036118918 ,		-0.2201	1.295701161	-0.0142880761	-0.7644630583		
-0.3798999999999912 ,	1.0746785667039267 ,	-0.04509167161861742 ,	-0.7229469332480195 ,		-0.22005	1.295785383	-0.01428198471	-0.7644687017		
-0.3799499999999912 ,	1.0746247160072624 ,	-0.04510547769467759 ,	-0.7229263581860141 ,		-0.22	1.295869615	-0.01427589511	-0.7644743408		
-0.3799999999999912 ,	1.0745708750279155 ,	-0.045119286693955644 ,	-0.7229057784261339 ,		-0.21995	1.295953855	-0.01426980732	-0.7644799756		
-0.3800499999999912 ,	1.074517043766005 ,	-0.04513309861663709 ,	-0.7228851939686255 ,		-0.2199	1.296038105	-0.01426372132	-0.7644856062		
-0.38009999999999117 ,	1.0744632222216604 ,	-0.04514691346290185 ,	-0.7228646048137296 ,		-0.21985	1.296122364	-0.01425763712	-0.7644912325		
-0.38014999999999116 ,	1.0744094103949966 ,	-0.04516073123293504 ,	-0.7228440109616924 ,		-0.2198	1.296206633	-0.01425155471	-0.7644968545		
-0.38019999999999116 ,	1.0743556082861068 ,	-0.045174551926927445 ,	-0.722823412412774 ,		-0.21975	1.29629091	-0.01424547411	-0.7645024723		
-0.38024999999999115 ,	1.0743018158951132 ,	-0.04518837554506059 ,	-0.7228028091672178 ,		-0.2197	1.296375197	-0.01423939528	-0.7645080857		
-0.38029999999999115 ,	1.074248033222128 ,	-0.04520220208751968 ,	-0.7227822012252751 ,		-0.21965	1.296459493	-0.01423331826	-0.7645136949		
-0.38034999999999114 ,	1.074194260267284 ,	-0.04521603155448451 ,	-0.7227615885871855 ,		-0.2196	1.296543799	-0.01422724303	-0.7645192998		
-0.38039999999999113 ,	1.0741404970306612 ,	-0.04522986394614743 ,	-0.7227409712532137 ,		-0.21955	1.296628114	-0.0142211696	-0.7645249005		
-0.38044999999999113 ,	1.0740867435123886 ,	-0.045243699262688154 ,	-0.7227203492236028 ,		-0.2195	1.296712438	-0.01421509796	-0.7645304968		
-0.3804999999999911 ,	1.0740329997125944 ,	-0.04525753750428627 ,	-0.7226997224985975 ,		-0.21945	1.296796771	-0.01420902811	-0.7645360889		
-0.3805499999999911 ,	1.073979265631369 ,	-0.04527137867113194 ,	-0.7226790910784567 ,		-0.2194	1.296881114	-0.01420296006	-0.7645416767		
-0.3805999999999911 ,	1.073925541268824 ,	-0.04528522276340859 ,	-0.7226584549634348 ,		-0.21935	1.296965466	-0.0141968938	-0.7645472603		
-0.3806499999999911 ,	1.073871826625103 ,	-0.04529906978129126 ,	-0.7226378141537649 ,		-0.2193	1.297049827	-0.01419082933	-0.7645528396		
-0.3806999999999911 ,	1.0738181217002836 ,	-0.04531291972497244 ,	-0.7226171686497191 ,		-0.21925	1.297134197	-0.01418476665	-0.7645584146		
-0.3807499999999911 ,	1.0737644264944943 ,	-0.04532677259463045 ,	-0.7225965184515392 ,		-0.2192	1.297218577	-0.01417870576	-0.7645639853		
-0.3807999999999911 ,	1.0737107410078446 ,	-0.04534062839044912 ,	-0.7225758635594786 ,		-0.21915	1.297302966	-0.01417264667	-0.7645695517		
-0.3808499999999911 ,	1.0736570652404565 ,	-0.04535448711260825 ,	-0.7225552039737868 ,		-0.2191	1.297387364	-0.01416658936	-0.7645751139		
-0.3808999999999911 ,	1.0736033991924272 ,	-0.045368348761294065 ,	-0.7225345396947211 ,		-0.21905	1.297471772	-0.01416053384	-0.7645806718		
-0.3809499999999911 ,	1.0735497428638971 ,	-0.0453822133366817 ,	-0.7225138707225244 ,		-0.219	1.297556189	-0.01415448012	-0.7645862255		
-0.38099999999999107 ,	1.0734960962549494 ,	-0.04539608083895977 ,	-0.7224931970574616 ,		-0.21895	1.297640615	-0.01414842818	-0.7645917749		
-0.38104999999999106 ,	1.073442459365712 ,	-0.04540995126830647 ,	-0.72247251869978 ,		-0.2189	1.29772505	-0.01414237803	-0.7645973199		
-0.38109999999999106 ,	1.0733888321963037 ,	-0.04542382462490212 ,	-0.7224518356497298 ,		-0.21885	1.297809495	-0.01413632967	-0.7646028608		
-0.38114999999999105 ,	1.0733352147468078 ,	-0.04543770090893463 ,	-0.7224311479075759 ,		-0.2188	1.297893949	-0.01413028309	-0.7646083973		
-0.38119999999999105 ,	1.0732816070173665 ,	-0.04545158012057776 ,	-0.7224104554735631 ,		-0.21875	1.297978412	-0.01412423831	-0.7646139296		
-0.38124999999999104 ,	1.073228009008074 ,	-0.045465462260016576 ,	-0.7223897583479504 ,		-0.2187	1.298062885	-0.01411819531	-0.7646194577		
